Doctor ID,Doctor Name,Specialty,Phone Number,Years Of Experience,Hospital Affiliation,Hospital/Clinic,Specialization,Email
47448,Amanda Baldwin,Neurology,062-083-0816x414,18,Gonzalez-Wilson,Hernandez-Moore,General Medicine,sergiohudson@romero.com
56894,Robert Salinas,Pediatrics,565-486-1895,5,Nelson and Sons,Moore Ltd,Neurology,wilsonlynn@gmail.com
82736,Michele Morgan,Neurology,634-611-4364x535,10,Cortez-Adams,"Williams, Dunn and Brooks",Neurology,dsawyer@yahoo.com
24120,Brian Bryant,Pediatrics,+1-791-895-7087,29,"Baldwin, Campbell and Lawson",Bender-Gallegos,Pediatrics,jody80@hotmail.com
39699,Michael Burgess,Cardiology,413.838.1517x891,32,Schaefer Group,Williams LLC,Neurology,angelacohen@gmail.com
975,Brittany Kemp,Neurology,878.505.5297x366,22,Harmon Group,Wilcox LLC,Orthopedics,maryjohnson@hotmail.com
13288,Robert Douglas,Neurology,395.067.8307,31,"Acosta, Castaneda and Santos",Evans LLC,Cardiology,johnsonkeith@livingston-larsen.net
33236,Erika Roman,General Medicine,900-359-4364x64603,4,"Lee, Williams and Costa",Petersen and Sons,Pediatrics,dmoore@oliver.com
35168,Chris Johnson,Orthopedics,(095)776-0912x146,31,"Schmidt, Irwin and Winters",Garcia-English,Pediatrics,tlawson@thompson.biz
57484,Tim Chang,Orthopedics,825-297-5537,9,Durham and Sons,Davis Ltd,Cardiology,samuelshaffer@dominguez.org
12844,Dr. Cindy Rodriguez,General Medicine,837-974-8051x3829,29,Johnson Ltd,Fox Ltd,Neurology,huffgavin@gmail.com
61806,Linda Becker,Neurology,+1-395-166-8366,30,Mcmahon-Gay,Payne Inc,General Medicine,amberthomas@hotmail.com
6140,Mary Mata,Pediatrics,001-571-124-0088x2549,33,"Lawrence, Butler and Poole","Santiago, Gonzales and Montoya",Cardiology,leonwilliams@mills.com
68425,Dr. Ashley Garcia,Orthopedics,+1-555-791-3312x926,25,"Martinez, George and Wade",Farley-Fletcher,Cardiology,vanessa28@hotmail.com
30992,Sandra Anderson,Neurology,(488)008-3132x284,3,Day Inc,Garcia-Bolton,Neurology,mendozasamuel@rush.info
28608,David Martinez,Neurology,6448597201,31,"Harris, Washington and Richardson",Patel and Sons,Neurology,smithheather@gmail.com
82701,Karen Whitehead,Pediatrics,8058507250,12,Johnson-Robinson,"Thomas, Brown and Hansen",Cardiology,danielpennington@yahoo.com
46635,Jamie Johnson,Orthopedics,+1-629-107-7928x86404,33,Beasley Group,"Lopez, Quinn and Edwards",Pediatrics,coxdawn@hotmail.com
73842,Wesley Davis,Cardiology,001-698-638-6926x37966,15,"Martinez, Pham and Davis","Moore, Ferguson and Hamilton",Pediatrics,kristina30@mcdowell.com
99183,Bonnie Taylor,Cardiology,9701546292,13,Frye-Jones,Martin-Johnson,Orthopedics,john50@gmail.com
98802,Alexis Lyons,General Medicine,001-140-685-7176,29,Gordon-Kelly,Jackson LLC,Pediatrics,edwardschristopher@yahoo.com
15976,Michael Edwards,Pediatrics,001-707-892-0555x917,39,"Crawford, Hopkins and King",Harrison PLC,Neurology,kaitlyngutierrez@herring-anderson.com
75360,Susan Roberts DVM,General Medicine,531.361.9896x41093,20,"Osborne, Krueger and Davidson",Chaney PLC,Neurology,grossmark@gmail.com
33062,Edward Clark,Orthopedics,6242604033,39,Vaughn and Sons,"Morris, Sims and Kelly",Orthopedics,gentrysara@hotmail.com
26063,Jason Manning,Pediatrics,+1-352-334-7238,16,"Stephens, Lee and Bell",Clark PLC,Cardiology,michaelhunter@lee.net
23318,Jennifer Nicholson,Cardiology,+1-672-928-3777x59690,9,"Parker, Clark and Summers",Martinez Ltd,Neurology,villanuevasabrina@yahoo.com
44840,Paul Cox,Neurology,105.265.0961x4886,35,Gomez-Stark,Jones-Mcmahon,Cardiology,vicki29@hotmail.com
78094,Daniel Murphy,Orthopedics,242.713.0329x74502,9,"Holmes, Woods and Warren",Monroe-Fuller,Neurology,david91@yahoo.com
12169,Adam Mcmillan,Orthopedics,(462)930-4803x8749,4,"Hernandez, Jackson and Norton",Mathis-Hicks,Neurology,amygriffin@yahoo.com
61583,Amanda Joyce,Pediatrics,605.105.7045x524,20,"Wright, Adams and Jenkins","French, Mendoza and Smith",Orthopedics,melissa90@yahoo.com
15313,Stephanie Powers,Neurology,001-172-043-2405,33,Short-May,Hendricks-Hanson,Orthopedics,michaelrobbins@stone-ramirez.net
30300,Christina Martin,Neurology,172.028.4505x516,9,"Stafford, Peterson and Johnson","Wilson, Brown and Ruiz",Cardiology,rebeccawaters@gmail.com
37850,Deborah Curry,Pediatrics,726-740-1585x18674,27,Banks PLC,Williams-James,Pediatrics,jose81@hotmail.com
74969,Justin King,General Medicine,608-387-1171x23590,3,"Burgess, Hayden and Hill",Kerr-Phillips,Neurology,petersonmatthew@delgado.com
34884,Zachary Hardy,General Medicine,195-037-7431,30,Jones-Wilson,"Miller, Roach and Liu",Orthopedics,howeregina@ruiz-fisher.net
937,Brenda Pena,Cardiology,514.328.9153,12,Meadows PLC,Levine-Lyons,Pediatrics,alopez@hotmail.com
49323,Raymond Foster,Orthopedics,560-162-8153,15,Williams-Hoover,Snyder and Sons,Pediatrics,walterbeard@yahoo.com
27549,Paul Johnson,Cardiology,174.386.2881x61149,32,Webster-Martinez,"Sharp, Edwards and Fuller",General Medicine,melissa71@gmail.com
81266,Hunter Parks,Neurology,487-822-3489x34841,36,Phillips Group,Phillips Group,Pediatrics,boydlevi@collins-mann.com
44640,Norman Horton,Neurology,574-568-5753,31,"Stone, Oneal and Martinez",Novak-Cook,Cardiology,wwarren@hotmail.com
87309,Emily Conner,Neurology,851-254-4166x15790,21,Clark PLC,"Rodgers, Benton and Ramos",Pediatrics,cherylkaufman@rose-andrews.org
90646,Mackenzie Stewart,Neurology,+1-849-561-9448x55293,18,"Hernandez, Morrow and Green",Guerrero LLC,General Medicine,enixon@hotmail.com
76025,Manuel Martinez,Orthopedics,(217)694-5897,9,Owen Ltd,Rodgers LLC,Neurology,kevinsosa@hotmail.com
84647,Matthew Bonilla,Neurology,708.567.8047x6261,17,"Andrews, Hayes and Castillo",Frank-Bailey,Neurology,taylorgomez@hughes.net
34500,Jonathan Bartlett,General Medicine,3579519909,11,Wise-Davis,Williams-Moore,Neurology,ohodges@alexander.com
76924,Kimberly Miller,General Medicine,(850)392-2850,1,Lyons and Sons,"Brooks, Massey and Gonzalez",Pediatrics,davidnorman@bailey.net
70599,Joseph Williams,Cardiology,+1-538-909-9229,12,"White, Shelton and Nash",Williams-Porter,Pediatrics,leemelissa@kelley-brown.com
39704,Manuel Miller,General Medicine,(040)680-6324x5730,22,"Ramirez, Robinson and Copeland","Clark, Elliott and Roberts",Neurology,mary71@nash.com
96866,Richard Murphy,Pediatrics,0534300647,7,Pena-Kent,Hanson-Edwards,Neurology,angela03@davis-romero.com
95963,John Thompson,Orthopedics,001-100-574-6999x98641,18,"Tyler, Archer and Johnson","Pearson, Solis and Ferguson",Cardiology,kellypatton@morris.biz
59404,Alyssa Rangel,Cardiology,926.676.3996x81532,8,Clayton and Sons,Johnson-Anderson,Neurology,idiaz@yahoo.com
33342,Christopher Morrison,Neurology,001-320-204-9714x978,36,Miller PLC,Woods-Nelson,Cardiology,rgreen@hotmail.com
6966,Jason Mathis,Neurology,165.602.0575x567,31,Banks-Fernandez,Rosario LLC,General Medicine,kimkatelyn@downs.com
79027,Donna Coleman,Orthopedics,767-572-0782,5,"Massey, Thompson and Wiggins",Hernandez LLC,Cardiology,angelacooke@hotmail.com
18674,Emily Smith,Cardiology,359.652.4455,27,Powers-Lopez,Wright Ltd,Pediatrics,meyerbrandy@luna.net
60244,Mariah Bass,Cardiology,+1-321-640-6418x7694,33,Andrews and Sons,Elliott-Duran,Cardiology,yvette97@gmail.com
72071,Amy Bradshaw,Pediatrics,220-265-7568x83291,23,Reid-Freeman,Harris Ltd,Neurology,nicholas91@gmail.com
71062,Chloe Sampson,Neurology,+1-172-008-4935x531,13,"Turner, Norton and Burnett",Hubbard and Sons,General Medicine,ryanle@gmail.com
53388,William Quinn,General Medicine,144-971-0258,31,Riley-Brooks,Smith Group,General Medicine,marthacollins@krueger-brown.com
89284,Kathryn Casey,Neurology,(630)690-7613,39,"Mccoy, Swanson and Sanchez","Rodriguez, Wyatt and Morris",Pediatrics,nguyenadriana@clark.com
30996,Dave Archer,Pediatrics,934.612.1369x6502,31,Jones LLC,Hodge-Hamilton,Neurology,lorifox@gmail.com
4362,Teresa Carr,Orthopedics,+1-558-921-0193x6463,17,Smith and Sons,"Harrison, King and Villanueva",General Medicine,davidking@yahoo.com
9324,Aaron Blair,Pediatrics,001-938-666-0502x7050,26,Martin Group,Rivers PLC,General Medicine,nicole20@yahoo.com
5287,Matthew Blackburn,General Medicine,001-035-580-3180,33,Taylor Inc,"Hansen, Herrera and Ellis",General Medicine,tamara98@smith-york.com
19188,Elizabeth Murphy,Orthopedics,+1-368-909-2910,24,"Keller, Elliott and Myers",Montes-Foster,Orthopedics,garrisoncraig@tapia-payne.info
43582,Stacy Ruiz,Pediatrics,+1-520-042-6170x1192,18,Peterson-Johnson,Wallace-Rose,General Medicine,michael21@pearson.com
33910,Heather Stone,Pediatrics,621-205-7338,21,King-White,"Rowe, Flowers and Marquez",General Medicine,tylerbarnes@gmail.com
87189,Jacob Greene,Cardiology,(983)475-1733,17,Bryant-Myers,Bell Group,Pediatrics,wwilliams@dickson.com
45275,Jose Evans,Cardiology,001-173-386-4177,13,Perez-Tucker,"Levine, Heath and Solis",Cardiology,rodriguezshelley@hotmail.com
33474,William Pearson,Pediatrics,779-485-4701x43967,18,"Wilson, Freeman and Mejia","Miller, Murphy and Welch",Orthopedics,kenneth28@huber.com
60239,Christopher Walker,Orthopedics,883-698-0531,3,"Hogan, Walsh and Kelley",Turner Ltd,Cardiology,omalone@jefferson.com
84952,Jenna Smith,Neurology,(188)635-1684x752,33,Knapp PLC,Crane-Franco,Pediatrics,lewischristopher@murphy-sherman.info
85920,Debra Hill,Neurology,355-902-8033x838,5,Rocha-Wilson,Mason Inc,Neurology,madisongregory@hotmail.com
16091,Christopher Tapia,Pediatrics,001-823-553-9247,14,Potter-Spence,Nguyen-Le,Orthopedics,jacobelliott@hotmail.com
31851,Sarah Wade,Cardiology,+1-800-335-3020x9903,5,"Miller, Pena and Martinez",Williams LLC,Cardiology,shawtyler@collins.com
28484,Alex Morgan,Pediatrics,(326)066-5318,3,Carpenter Ltd,"Coleman, Thompson and Campbell",Pediatrics,williamwilliams@yahoo.com
87560,Jose Hicks,Neurology,+1-006-971-7109x75263,34,Moreno-Wolf,Weaver-Baker,Cardiology,cummingscarrie@gmail.com
88719,Austin Chan,General Medicine,(936)146-5589x381,27,Love-Anderson,"Perez, Johnson and Hall",Pediatrics,belltyler@harris.info
73402,David Newman,Neurology,270.446.4754x38024,32,"Lambert, Hess and Clark","Howard, Ryan and Goodman",Cardiology,joseph24@yahoo.com
35431,Bobby Burgess,Orthopedics,135-836-8288x6213,26,Wall and Sons,"Scott, Bennett and Jones",Orthopedics,krichardson@daniels-garner.com
47012,Carl Fuller,Cardiology,8911181522,22,Robles-Becker,Sanders-Rodriguez,Orthopedics,randysteele@figueroa-king.com
48503,Regina Harrell,Pediatrics,(679)234-7948x060,21,Murphy-Ellis,Kelley LLC,Cardiology,bradley24@gmail.com
91909,Jamie Ramirez,Pediatrics,(625)697-9186,36,Lawson PLC,"Turner, Rodriguez and Miller",General Medicine,vincent52@frank-wolf.info
96752,Shane Christensen,Neurology,2209572508,17,Davis-Jones,"Giles, Davis and Parks",Cardiology,gilmoremichael@marquez.info
51692,Gregory Pruitt,General Medicine,+1-225-748-6918,16,"Allen, Mendoza and Cole",Williamson-Rice,General Medicine,dennisgardner@hotmail.com
5140,Sarah James,Cardiology,001-746-973-0906x4814,26,Hurst Ltd,"Diaz, Villanueva and Krause",Orthopedics,timothyramos@hotmail.com
69329,Alex Silva,Orthopedics,876-937-3184x368,19,"Reyes, Liu and Sampson",Simmons and Sons,General Medicine,steven54@hotmail.com
48549,Shannon Floyd,Cardiology,+1-418-973-2235x784,10,"Young, James and Patterson",Jackson PLC,Cardiology,stanleybarbara@cook.info
53605,Ray Jenkins,Cardiology,551-494-3581x251,7,"Wood, Trujillo and Sharp",Smith-Collins,General Medicine,cassandrahickman@gmail.com
84147,Jerome Anderson,Pediatrics,395-869-7222x587,16,Bender Inc,Harris LLC,General Medicine,scruz@hotmail.com
38085,Kyle Mcbride,Neurology,977.581.6059x8594,36,Garrett Inc,Combs-Harvey,Neurology,madisonmartinez@gmail.com
13393,Anthony Evans,Neurology,440.719.6678,10,Scott PLC,Phillips PLC,Orthopedics,uschaefer@clark.com
3966,Matthew Frey,General Medicine,001-907-020-9005,20,"Sanders, Shaffer and Davidson",Gallagher and Sons,General Medicine,amycastillo@johnson-sanders.com
62863,Margaret Brooks,Cardiology,6712831393,14,Mcmahon Ltd,Garcia and Sons,Orthopedics,carpentermark@gmail.com
26267,Jessica Brown,Cardiology,082-253-3289,13,"Wilson, Clarke and Mcbride",Lowery Group,Pediatrics,nashjoseph@smith.com
93008,Steven Campos,Pediatrics,001-190-307-2948x30989,25,Williams PLC,"Armstrong, Rice and Li",Neurology,kgreen@bradley.com
88553,Sabrina Diaz,General Medicine,(643)747-8054x42776,18,"Luna, Sweeney and Wiley",Gibson-Webb,Neurology,mariawilliams@yahoo.com
54895,Dr. Dylan Russell,Cardiology,3209105764,3,Summers Ltd,Escobar-Patel,Cardiology,edward60@johnston.info
61151,Dana Hernandez,Cardiology,(211)131-0338x82339,26,Smith PLC,Taylor-Griffith,Pediatrics,vbennett@hotmail.com
16411,Lisa Nelson,Pediatrics,739.221.7917x56701,18,Ortiz Group,Cardenas-Cain,Pediatrics,harrisjennifer@yahoo.com
49781,Roy Armstrong,Neurology,0232650691,32,Turner-Cross,"Abbott, Moreno and Williams",Cardiology,rodriguezshelia@hotmail.com
62599,Matthew Ryan,Neurology,5247105065,25,Bell-Gibbs,"Anthony, Kim and Evans",Cardiology,darinanderson@fisher-stewart.net
8233,Monica Gonzalez,General Medicine,+1-467-477-8582x0559,25,Campbell LLC,Daniel-Wilson,Neurology,wendy70@woods-bright.net
97610,Jasmine Bowman,General Medicine,723.321.5780,11,"Glass, Miller and Lewis",Marshall Group,Orthopedics,figueroaannette@brewer-simmons.info
80513,Rebecca Fletcher,Neurology,404-004-0081x20350,32,Norton Ltd,Morales-Chase,Pediatrics,mcgrathtimothy@gmail.com
41360,Anthony Gonzalez,General Medicine,+1-607-355-1430x197,6,Walker-Franklin,Gomez-Guzman,General Medicine,andrewrodriguez@martinez.com
61077,Karen Terrell,Neurology,+1-021-549-8680x69192,33,"Duncan, Moody and Strickland",Stevenson-Fischer,Orthopedics,amberhall@aguilar-joseph.com
55794,Cynthia Young,Neurology,(448)156-5463,14,"Decker, Shah and Davis",Baker-Long,Orthopedics,christopherhill@spencer.com
81055,Christopher Herrera,General Medicine,001-464-211-4039,18,Washington PLC,Saunders-Thompson,Neurology,thomasbaker@fleming.com
1794,Alan Wood,Cardiology,(092)145-6938,18,Walker-Harmon,Brown-Perry,General Medicine,michaelwagner@yahoo.com
21596,Marcus Walker,Cardiology,+1-941-178-7955x004,39,Leon-Steele,Hall PLC,Neurology,onicholson@gmail.com
41058,Kimberly Rodriguez,Pediatrics,(870)162-9992x8156,19,Reynolds-Stone,"Velasquez, Carpenter and Baird",Orthopedics,morrisonrenee@hotmail.com
42753,Tonya Paul,General Medicine,141-864-1392x530,20,"Sloan, Crawford and Owens","Moody, Palmer and Miles",Neurology,yvilla@yahoo.com
31897,Paul Giles,General Medicine,(060)690-1933,35,Cooper-Little,Smith-Chen,Neurology,cassandra42@gmail.com
28108,Katelyn Bruce,Neurology,3245064838,19,Young-Cannon,Johnson LLC,Cardiology,jasonbarrett@cannon.com
88896,Tamara David,Orthopedics,(555)152-1911x959,2,Hernandez-Stewart,Dillon-Macias,Cardiology,charlesgordon@cole.com
69401,Jacob Fox,Orthopedics,001-539-641-8757x3498,2,Rodriguez Inc,"Cook, Johnson and Harris",General Medicine,pacosta@hotmail.com
56171,Roger Garcia,General Medicine,+1-370-470-9842x7343,32,"Cole, Montoya and Watson",Smith PLC,Neurology,jacksondavid@yahoo.com
18851,Brenda Wheeler,Pediatrics,973-744-6048x14021,35,Farmer-Shelton,Garner PLC,Cardiology,linda22@hotmail.com
45223,Mrs. Debra Long,Orthopedics,+1-083-749-5423x44212,35,Villarreal-Elliott,Pugh-Sullivan,Pediatrics,hopkinskatherine@gmail.com
46493,Laura Hodges DDS,Cardiology,(374)223-2602,23,Beck-Rose,Carrillo PLC,Orthopedics,ehoward@hanson-phillips.biz
59201,Curtis Marquez,Pediatrics,001-564-905-0851x6014,32,Stanton-Roberts,"Underwood, Murphy and Gray",Neurology,evanssamuel@johnson.com
83815,Jessica Cox,Orthopedics,1445077881,24,Collins Ltd,Armstrong Inc,Cardiology,brandy99@bird-allen.com
99965,Aimee Marshall,Orthopedics,(029)251-8171x4318,7,Clark Ltd,Gardner-Gutierrez,Pediatrics,franciscoleach@porter.org
62915,Tracy Jones,General Medicine,+1-940-148-6535x277,33,Jones LLC,Stewart LLC,Orthopedics,floresheather@graham-hall.com
42608,Steven Lopez,General Medicine,307-904-8217x847,38,Doyle-Bridges,Johns-Rivera,Cardiology,dawn71@hotmail.com
47550,Luis Bowers,Pediatrics,325-777-2501x04446,33,Vargas-Jones,"Davis, Holder and Rodriguez",Orthopedics,kylenguyen@patterson.org
61687,Benjamin Shelton,Cardiology,+1-850-423-5076,9,"Robinson, Romero and Hughes",Boyd and Sons,Orthopedics,glamb@gmail.com
19305,Pamela Nguyen,Pediatrics,870.130.1473,30,Watson Ltd,"Thomas, Cruz and Black",Pediatrics,annacarrillo@black.net
78103,Lucas Price,Cardiology,360-281-7551,35,Bowman Ltd,Scott-Cox,Pediatrics,lcoleman@hotmail.com
85107,Jeremy Turner,General Medicine,(111)223-7916x0894,15,"Myers, Bush and Davis",Casey and Sons,Orthopedics,goodwinkatherine@yahoo.com
64105,Erica Jones,Neurology,001-462-716-9108,32,Banks Inc,"Todd, Reeves and Young",Pediatrics,richard17@hotmail.com
61499,Catherine Robinson,Neurology,145.682.5196,37,Harris-Mathews,"Faulkner, Moreno and Smith",Neurology,vcook@kennedy.com
59242,Rebekah Zavala,Pediatrics,(413)193-1106,30,Stewart PLC,"Bell, Hill and Reyes",Pediatrics,nicholasfuller@robinson.org
78363,Justin Smith,Neurology,046-821-4963x717,11,"Whitney, Brown and Mcdaniel",Oliver LLC,General Medicine,richardsonwhitney@pruitt-sherman.net
14528,Dr. Courtney Campbell,General Medicine,6080312936,1,"Long, Moore and Horton",Alexander and Sons,Orthopedics,morgan66@rowe-robertson.org
74246,Mrs. Jennifer Russell,Cardiology,528.984.2854x779,38,Salazar-Mason,Hall-Ellis,Orthopedics,davidfoster@yahoo.com
31364,Susan King,Orthopedics,001-718-821-1261x06045,32,"White, Davenport and Smith",Strong PLC,General Medicine,brendapetty@hotmail.com
78238,Jacob Galloway,Cardiology,268-003-7307x285,22,Boyd LLC,Moore Ltd,Pediatrics,nicole44@yahoo.com
55483,Debbie Gallagher,General Medicine,(927)147-9729,12,Bailey-Jensen,Choi PLC,Orthopedics,mckinneykendra@yahoo.com
59602,Joseph Carter,Pediatrics,602.391.1951x7861,34,Hernandez-Johnson,"Howard, Payne and Miller",Neurology,ybarrett@carter-allen.com
97643,Miguel Oneal,Orthopedics,612.676.9015x47569,20,"Cole, Alexander and Townsend","Morrison, Hernandez and Thomas",General Medicine,matthewshields@conner.biz
78642,Vickie Alvarez,Cardiology,099-503-4502,22,Barnes-Simpson,Chase-Cox,Orthopedics,robertmiller@yahoo.com
74268,Christopher Reese,Orthopedics,(258)585-1373x2656,2,"Young, Phillips and Pittman","Williamson, Cook and Wise",General Medicine,juarezscott@gmail.com
49435,Jessica Griffith,Orthopedics,+1-049-361-4792,9,"Gregory, Edwards and Byrd","Williams, Scott and Hoover",Neurology,tcampbell@yahoo.com
91099,Derrick Gray,General Medicine,(993)439-6275x40078,12,Hurley Inc,"Hamilton, Evans and Simmons",Pediatrics,xhicks@schmidt.org
787,Benjamin Taylor,Orthopedics,717.738.0440,7,"Parsons, Washington and Hernandez",Bell and Sons,Pediatrics,icarter@brooks-smith.com
55185,Ryan Ortiz,Orthopedics,(117)794-4950,31,Johns and Sons,"Choi, Santos and Ryan",Neurology,olsonangela@leon-benitez.com
15922,Jasmine Hood,General Medicine,(038)857-0740x4849,23,Mills PLC,Hahn Ltd,Orthopedics,iwhitaker@davidson.com
91088,Rodney Wood,General Medicine,001-705-542-9538,22,Hernandez Ltd,Conner-Zamora,Orthopedics,yhayes@knight.com
59911,Gary Miller,Neurology,001-946-122-9773x95874,27,Fitzgerald-Owen,Pennington LLC,Neurology,mmendez@gordon.com
52382,Whitney Delgado,Neurology,065-740-8001x6331,14,Walker-Fisher,"Williams, Smith and Morris",Pediatrics,rachelcooper@gmail.com
36543,Lisa Gillespie,Cardiology,(336)097-5960,10,Lowe and Sons,Gonzalez and Sons,Orthopedics,matthew62@gmail.com
24892,Andrew Stevens,Cardiology,476.534.2975,16,Ashley Ltd,"Rivera, Stevens and Wallace",Orthopedics,victoria78@hotmail.com
47524,Eric Evans,Neurology,(982)996-0206x76835,31,Wright and Sons,Baker PLC,Cardiology,shelbypatterson@yahoo.com
13613,Erin Shaw,General Medicine,+1-828-355-4082x3413,26,Baker Ltd,Snyder and Sons,Cardiology,tbrown@gmail.com
48763,Clinton Juarez,General Medicine,789-393-3127x4750,33,Davis-Lane,"Sexton, Grant and Baker",Orthopedics,richardsampson@rodriguez.com
59023,Adam Evans,General Medicine,+1-501-600-1691x15088,26,Spence-Valencia,Harvey-Morgan,Pediatrics,john32@decker-mitchell.com
74667,Douglas Lambert,Cardiology,144.283.9023x7756,23,Norris-Boyd,Powell-Cunningham,Neurology,kevin42@wade.org
76302,Amy Pham,Pediatrics,(196)912-5124,35,"Owen, Klein and Rivers","Vasquez, Erickson and Ross",Cardiology,hernandezyolanda@hardy-simmons.com
95399,Vanessa Murphy,Pediatrics,+1-488-303-1702x9799,17,Duncan-Morris,Rodriguez PLC,Pediatrics,fchaney@hotmail.com
61064,Leah Cook,General Medicine,001-854-473-5114,18,Herman-Kennedy,Mendoza-Gonzalez,Pediatrics,lauriephillips@yahoo.com
5972,Kyle Williams,Orthopedics,243.684.2856,35,Lee Ltd,Carter-Richards,Neurology,kentfinley@yahoo.com
14486,Stephanie Pruitt,General Medicine,+1-111-877-5789,22,Fox Inc,"Cain, Leon and Johnson",Neurology,paul74@gmail.com
60561,Johnny Pruitt,Pediatrics,001-895-287-3975,21,"Graham, White and Sanders",Robinson Ltd,General Medicine,spencer03@james.biz
73274,Chelsea Ruiz,General Medicine,682-805-7433x2406,17,Ellis-Blair,Weber Ltd,Pediatrics,christopher04@price-chapman.com
24443,Tanya Moreno,Cardiology,540.387.5146,11,"Baker, Harper and Dalton",Jones-Buckley,General Medicine,vpittman@silva.net
8561,Kelly Hill,Neurology,001-717-318-6889x6796,35,"Davis, Oliver and Key","Thomas, Wheeler and Woods",Neurology,frankschneider@hotmail.com
83058,Darrell Gutierrez,Orthopedics,001-760-205-5072x68566,16,George-Webb,Berry LLC,General Medicine,tonya45@taylor.com
96202,Amanda Chapman,Pediatrics,987-881-7671,20,Miller-Gonzales,"Bailey, Roach and Leonard",General Medicine,dennisshields@prince.org
76731,Elizabeth Johnson,Cardiology,+1-058-489-8529x3769,36,Garcia Ltd,"Jarvis, Cox and Strickland",Orthopedics,heatherwalker@mcdaniel-cortez.info
60357,Thomas Howard,Neurology,331-287-0878x3915,26,"Mueller, Russell and Torres",Lewis Ltd,Pediatrics,mark85@graham.com
1618,Raymond Franklin,Cardiology,784-190-7726x5378,1,Turner-Pennington,"Webster, Navarro and Fleming",Neurology,leonardanthony@yahoo.com
94944,Diana Beasley,Pediatrics,+1-352-642-5701,29,"Jones, Whitaker and Williams",Moran-Estes,Neurology,dixoncharles@gmail.com
7923,Margaret Fox,Cardiology,089-254-1858x757,39,Thomas-Reynolds,"Rodriguez, Campbell and Howard",Orthopedics,kaylajohnson@sutton.com
10763,Cindy Herrera,Neurology,6379196613,32,"Allen, Vaughn and Hamilton",Koch LLC,Cardiology,lross@fitzpatrick.com
52043,Jesse Bishop,General Medicine,(162)943-3275,35,"Melton, Arias and Elliott",Scott Group,Pediatrics,jessica86@williams.com
69239,Summer Brown,Cardiology,077-191-8639x2896,17,"Benson, Estes and Schmidt",Gentry Group,Neurology,adamschristina@gmail.com
76531,Brandon Gonzales,Pediatrics,(473)347-9827x572,26,Morris PLC,Torres Inc,Orthopedics,brianriley@garcia.com
40709,Erin Meyer,Neurology,900.890.6555,9,"Allen, Sanders and Newman",Garrett-Daugherty,Orthopedics,chad55@hotmail.com
85785,Bobby Johnson,Orthopedics,(804)815-8695x5230,27,"Brown, Mayo and Morris",Howell PLC,Neurology,batesalison@gmail.com
54260,Kyle Kelley,Neurology,+1-335-079-2584,8,"Adams, Bauer and Morris","Jenkins, Long and Wilson",Pediatrics,rebeccawilliams@moreno.com
14407,Benjamin Fowler,Pediatrics,(746)773-8819,35,Duke Group,Hernandez-Woodward,Cardiology,dmorales@norman.com
2742,Emma Mitchell,Neurology,+1-918-636-5626x2209,2,"Calhoun, Fox and Herrera","Mcdonald, Cherry and Brown",Cardiology,williamsonmark@miller.com
36838,Sarah Lambert,Pediatrics,(803)819-2885,10,Mason Ltd,Jackson PLC,General Medicine,seanking@gmail.com
68991,Madison Lewis,Neurology,+1-481-663-0675x6937,32,Serrano Group,Thompson-Harris,Cardiology,twilliams@yahoo.com
80551,Jennifer Barajas,Pediatrics,+1-617-034-4208x1449,6,Gutierrez-Anderson,Ramirez Ltd,Neurology,joseph96@fuller.com
23345,Amanda Ellis,Neurology,(051)554-1397x460,16,Montgomery PLC,"Nelson, Gallagher and Russell",Pediatrics,felicia98@jones.info
99967,Peter Ali,Orthopedics,862-055-4592,13,Patel PLC,Booth-Nixon,Pediatrics,hsmith@hernandez.com
69245,Teresa Wheeler,Orthopedics,494.082.2823x305,7,"Castillo, Castaneda and Barnes",Jones Group,Neurology,david96@yahoo.com
78493,Joshua Vasquez,General Medicine,+1-879-316-5176x98417,27,Robinson-Alexander,Shea Inc,Orthopedics,brownkimberly@stephens.com
65617,Sandra Santos,Neurology,6075775996,14,Schroeder Inc,"Franklin, Fernandez and Curtis",Orthopedics,jessicaestrada@ward.com
93824,Matthew Carrillo,Orthopedics,001-067-198-5104x4991,34,Fox Ltd,"Whitaker, Pearson and Matthews",Cardiology,aaronzhang@wilson.com
4631,Tiffany Brooks DDS,Pediatrics,243-867-5150,14,Bauer-Allen,Calderon and Sons,Neurology,tony27@marshall.biz
74166,Laura Barker,Neurology,(490)856-3789x573,16,Cummings Inc,Sandoval LLC,Neurology,ramseyryan@gmail.com
68641,Megan Kaiser,Orthopedics,2417770607,39,Russell-Morgan,Mcdowell-Perez,General Medicine,michael38@gmail.com
64720,Stephanie Jones,Cardiology,+1-434-475-6721x779,15,"Contreras, Moore and Reed",Matthews-Bender,Neurology,iarnold@pratt.com
75063,Patricia Franklin,Orthopedics,001-815-707-4436x81515,13,"Richards, Haynes and Cervantes",Peters LLC,General Medicine,john60@gmail.com
93936,Patricia Farmer,Pediatrics,1943762973,10,Hill and Sons,Randall Ltd,Pediatrics,nmartin@gmail.com
91799,Geoffrey Lee,Pediatrics,001-858-855-1165,27,Yu-Ortega,Merritt-Clay,Neurology,sbradford@dudley-williams.com
45762,Jeffery Cannon,Cardiology,+1-760-416-9634x939,28,"Merritt, Wilson and Mendez",Whitehead-Myers,General Medicine,larsonanthony@lang-medina.com
